model_name,rpm,CMH,Pa,Area 1(CMH),Area 1(Pa),Area 2(CMH),Area 2(Pa),power (kW),total efficiency (%),static pressure efficiency (%),63Hz(dB / dB(A)),125Hz(dB / dB(A)),250Hz(dB / dB(A)),500Hz(dB / dB(A)),1kHz(dB / dB(A)),2kHz(dB / dB(A)),4kHz(dB / dB(A)),8kHz(dB / dB(A)),Total_dB / dB(A)
TZAF 1120 FF T2,500,62090,302,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,6.59,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,64434,280,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,6.35,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,67065,259,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,6.1,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,70047,237,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,5.84,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,550,57143,522,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,10.49,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,58627,495,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,10.22,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,60234,469,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,9.95,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,61980,443,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,9.67,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,63888,417,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,9.38,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,65983,391,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,9.08,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,68299,365,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,8.77,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,70877,339,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,8.45,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,73771,313,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,8.12,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,550,77051,287,51071.42857142857,576.1904761904761,75000.0,400.00000000000006,7.78,84.67,78.96,88 / 62,89 / 73,88 / 79,83 / 80,79 / 79,74 / 75,69 / 70,64 / 63,94 / 85
TZAF 1120 FF T2,600,62338,621,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,13.61,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,63957,590,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,13.27,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,65710,559,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,12.91,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,67615,528,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,12.55,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,69696,497,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,12.18,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,71981,466,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,11.79,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,74508,434,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,11.39,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,77320,403,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,10.98,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,80478,372,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,10.55,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,600,84056,341,55714.28571428572,685.7142857142857,81818.18181818182,476.03305785123973,10.1,84.67,78.96,90 / 64,91 / 75,90 / 81,85 / 82,81 / 81,76 / 77,71 / 72,66 / 65,96 / 87
TZAF 1120 FF T2,650,67532,728,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,17.31,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,69287,692,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,16.87,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,71185,656,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,16.42,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,73249,619,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,15.96,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,75504,583,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,15.48,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,77980,546,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,14.99,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,80717,510,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,14.48,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,83764,473,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,13.95,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,87184,437,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,13.41,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,650,91061,401,60357.14285714286,804.7619047619048,88636.36363636365,558.6776859504133,12.84,84.67,78.96,92 / 66,93 / 77,92 / 83,87 / 84,83 / 83,78 / 79,73 / 74,68 / 67,98 / 89
TZAF 1120 FF T2,700,72727,845,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,21.62,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,74617,803,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,21.07,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,76661,760,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,20.51,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,78884,718,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,19.93,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,81312,676,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,19.34,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,83978,634,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,18.72,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,86926,591,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,18.09,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,90207,549,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,17.43,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,93891,507,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,16.75,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,700,98065,465,65000.0,933.3333333333334,95454.54545454546,647.9338842975208,16.03,84.67,78.96,93 / 67,94 / 78,93 / 84,88 / 85,84 / 84,79 / 80,74 / 75,69 / 68,99 / 90
TZAF 1120 FF T2,750,77922,970,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,26.59,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,79946,921,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,25.92,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,82137,873,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,25.22,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,84518,824,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,24.51,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,87120,776,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,23.78,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,89977,727,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,23.03,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,93135,679,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,22.25,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,96650,630,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,21.44,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,100597,582,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,20.6,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,750,105070,533,69642.85714285714,1071.4285714285713,102272.72727272728,743.8016528925621,19.72,84.67,78.96,95 / 69,96 / 80,95 / 86,90 / 87,86 / 86,81 / 82,76 / 77,71 / 70,101 / 92
TZAF 1120 FF T2,800,83117,1103,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,32.27,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,85276,1048,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,31.45,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,87613,993,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,30.61,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,90153,938,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,29.75,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,92928,883,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,28.86,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,95975,828,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,27.95,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,99344,772,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,27.0,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,103094,717,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,26.02,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,107303,662,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,25.0,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,800,112075,607,74285.71428571429,1219.047619047619,109090.9090909091,846.2809917355372,23.93,84.67,78.96,96 / 70,97 / 81,96 / 87,91 / 88,87 / 87,82 / 83,77 / 78,72 / 71,102 / 93
TZAF 1120 FF T2,850,88312,1246,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,38.71,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,90606,1183,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,37.73,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,93089,1121,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,36.72,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,95787,1059,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,35.68,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,98735,997,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,34.62,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,101974,934,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,33.52,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,105553,872,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,32.38,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,109537,810,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,31.21,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,114010,747,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,29.98,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,850,119079,685,78928.57142857143,1376.1904761904761,115909.09090909091,955.3719008264463,28.7,84.67,78.96,97 / 71,98 / 82,97 / 88,92 / 89,88 / 88,83 / 84,78 / 79,73 / 72,103 / 94
TZAF 1120 FF T2,900,93506,1397,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,45.95,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,95936,1327,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,44.78,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,98564,1257,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,43.59,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,101422,1187,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,42.36,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,104543,1117,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,41.1,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,107972,1047,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,39.79,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,111762,978,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,38.44,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,115981,908,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,37.04,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,120716,838,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,35.59,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,900,126084,768,83571.42857142858,1542.857142857143,122727.27272727274,1071.0743801652893,34.07,84.67,78.96,99 / 73,100 / 84,99 / 90,94 / 91,90 / 90,85 / 86,80 / 81,75 / 74,105 / 96
TZAF 1120 FF T2,950,98701,1556,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,54.04,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,101265,1478,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,52.67,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,104040,1400,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,51.26,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,107057,1323,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,49.82,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,110351,1245,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,48.33,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,113970,1167,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,46.8,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,117971,1089,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,45.21,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,122424,1011,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,43.57,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,127423,934,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,41.86,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,950,133089,856,88214.28571428572,1719.047619047619,129545.45454545456,1193.3884297520663,40.07,84.67,78.96,100 / 74,101 / 85,100 / 91,95 / 92,91 / 91,86 / 87,81 / 82,76 / 75,106 / 97
TZAF 1120 FF T2,1000,103896,1724,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,63.03,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,106595,1638,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,61.43,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,109516,1552,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,59.79,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,112691,1465,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,58.11,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,116159,1379,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,56.37,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,119969,1293,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,54.58,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,124180,1207,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,52.73,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,128867,1121,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,50.81,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,134129,1034,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,48.82,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1000,140093,948,92857.14285714286,1904.7619047619048,136363.63636363638,1322.314049586777,46.74,84.67,78.96,101 / 75,102 / 86,101 / 92,96 / 93,92 / 92,87 / 88,82 / 83,77 / 76,107 / 98
TZAF 1120 FF T2,1050,109091,1901,97500.0,2100.0,143181.8181818182,1457.8512396694216,72.96,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,111925,1806,97500.0,2100.0,143181.8181818182,1457.8512396694216,71.11,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,114992,1711,97500.0,2100.0,143181.8181818182,1457.8512396694216,69.22,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,118326,1616,97500.0,2100.0,143181.8181818182,1457.8512396694216,67.27,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,121967,1521,97500.0,2100.0,143181.8181818182,1457.8512396694216,65.26,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,125967,1426,97500.0,2100.0,143181.8181818182,1457.8512396694216,63.19,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,130389,1331,97500.0,2100.0,143181.8181818182,1457.8512396694216,61.04,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,135311,1236,97500.0,2100.0,143181.8181818182,1457.8512396694216,58.82,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,140836,1140,97500.0,2100.0,143181.8181818182,1457.8512396694216,56.51,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1050,147098,1045,97500.0,2100.0,143181.8181818182,1457.8512396694216,54.11,84.67,78.96,102 / 76,103 / 87,102 / 93,97 / 94,93 / 93,88 / 89,83 / 84,78 / 77,108 / 99
TZAF 1120 FF T2,1100,114286,2086,102142.85714285714,2304.7619047619046,150000.0,1600.0000000000002,83.89,84.67,78.96,103 / 77,104 / 88,103 / 94,98 / 95,94 / 94,89 / 90,84 / 85,79 / 78,109 / 100
TZAF 1120 FF T2,1100,117255,1982,102142.85714285714,2304.7619047619046,150000.0,1600.0000000000002,81.76,84.67,78.96,103 / 77,104 / 88,103 / 94,98 / 95,94 / 94,89 / 90,84 / 85,79 / 78,109 / 100
