model_name,rpm,CMH,Pa,Area 1(CMH),Area 1(Pa),Area 2(CMH),Area 2(Pa),power (kW),total efficiency (%),static pressure efficiency (%),63Hz(dB / dB(A)),125Hz(dB / dB(A)),250Hz(dB / dB(A)),500Hz(dB / dB(A)),1kHz(dB / dB(A)),2kHz(dB / dB(A)),4kHz(dB / dB(A)),8kHz(dB / dB(A)),Total_dB / dB(A)
TZAF 1120 FF T2,100,12418,12,9285.714285714286,19.047619047619047,13636.363636363638,13.223140495867769,0.05,84.67,78.96,51 / 25,52 / 36,51 / 42,46 / 43,42 / 42,37 / 38,32 / 33,27 / 26,57 / 48
TZAF 1120 FF T2,100,12887,11,9285.714285714286,19.047619047619047,13636.363636363638,13.223140495867769,0.05,84.67,78.96,51 / 25,52 / 36,51 / 42,46 / 43,42 / 42,37 / 38,32 / 33,27 / 26,57 / 48
TZAF 1120 FF T2,100,13413,10,9285.714285714286,19.047619047619047,13636.363636363638,13.223140495867769,0.05,84.67,78.96,51 / 25,52 / 36,51 / 42,46 / 43,42 / 42,37 / 38,32 / 33,27 / 26,57 / 48
TZAF 1120 FF T2,100,14009,9,9285.714285714286,19.047619047619047,13636.363636363638,13.223140495867769,0.05,84.67,78.96,51 / 25,52 / 36,51 / 42,46 / 43,42 / 42,37 / 38,32 / 33,27 / 26,57 / 48
TZAF 1120 FF T2,150,15584,39,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.21,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,15989,37,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.21,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,16427,35,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.2,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,16904,33,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.2,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,17424,31,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.19,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,17995,29,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.18,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,18627,27,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.18,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,19330,25,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.17,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,20119,23,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.16,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,150,21014,21,13928.57142857143,42.857142857142854,20454.545454545456,29.752066115702483,0.16,84.67,78.96,60 / 34,61 / 45,60 / 51,55 / 52,51 / 51,46 / 47,41 / 42,36 / 35,66 / 57
TZAF 1120 FF T2,200,20779,69,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.5,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,21319,66,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.49,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,21903,62,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.48,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,22538,59,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.46,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,23232,55,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.45,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,23994,52,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.44,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,24836,48,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.42,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,25773,45,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.41,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
